maxIter,FullTime,V_measure,
1,2106.04603696,0.285392338619,
1,2081.25616813,0.284342790464,
1,2175.47170782,0.294656204829,
1,2229.40983796,0.292749956396,
1,2326.82579517,0.292400808799,
2,3597.5131371,0.272311786431,
2,4056.29618597,0.27460765947,
2,3555.65448499,0.28095371122,
2,3483.68151402,0.281422708894,
2,3554.20008397,0.269569915915,
5,7203.69593096,0.259300979783,
5,7149.07109189,0.252235752689,
5,7384.43372393,0.229282625928,
5,6981.54063892,0.240218944655,
5,7188.84060597,0.240609871107,

