ExtraDim,Dim,Skip-gram?,Embedding_BuiltTime,Matrix_SolvingTime,Covar_estimateTime,FullTime,NegRatio,V_measure
20,89,cbow,2.65740704536,516.862140894,261.030338049,780.549885988,0.505356017643,0.285395245042,
20,89,cbow,3.19581913948,517.34597683,261.525556087,782.067352057,0.498424700693,0.291607578877,
20,89,cbow,2.63665890694,546.144348145,272.803457022,821.584464073,0.506196177274,0.298165350633,
20,89,cbow,3.24587202072,1142.73490596,308.221869946,1454.20264792,0.49779458097,0.269882027583,
20,89,skip-gram,3.88419008255,651.050814867,316.713027,971.64803195,0.500315059861,0.30953406668,
20,89,skip-gram,3.71969413757,625.255128145,301.220282078,930.195104361,0.498634740601,0.265432533236,
20,89,skip-gram,3.28911781311,688.87550807,304.456650019,996.621275902,0.503465658475,0.275216282315,
20,89,skip-gram,4.34348297119,659.913580894,308.700632811,972.957696676,0.510396975425,0.268265209132,
20,89,skip-gram,3.36661720276,682.130428076,300.940689802,986.437735081,0.494433942449,0.296062042053,
40,109,cbow,4.53622794151,1877.02052999,320.70678401,2202.26354194,0.498424700693,0.33347909091,
40,109,cbow,3.77761697769,921.474930048,276.819819927,1202.07236695,0.492753623188,0.276146376538,
40,109,cbow,3.01016402245,1107.99785304,279.165303946,1390.17332101,0.49779458097,0.324688828637,
40,109,cbow,3.7242410183,1569.2026341,274.210458994,1847.13733411,0.496744381432,0.298839469567,
40,109,cbow,3.67693996429,903.555118084,275.52204895,1182.754107,0.486662465869,0.271762080834,
40,109,skip-gram,3.32913708687,896.978574991,272.073533773,1172.38124585,0.500945179584,0.279813189457,
40,109,skip-gram,2.90541100502,876.59773922,271.698198795,1151.20134902,0.500315059861,0.26841366891,
40,109,skip-gram,2.79863095284,1540.55729008,275.972887039,1819.32880807,0.498844780508,0.302466927064,
40,109,skip-gram,3.35103988647,872.262928009,281.733395815,1157.34736371,0.506616257089,0.302621192077,
40,109,skip-gram,4.09000182152,879.564229965,271.090091944,1154.74432373,0.501575299307,0.307438017704,
80,149,cbow,3.37995696068,2103.50213218,279.663022995,2386.54511213,0.500315059861,0.301681549281,
80,149,cbow,2.9492790699,2159.57221508,284.326254845,2446.84774899,0.48918294476,0.29956923292,
80,149,cbow,3.14691996574,2109.64766693,287.884667158,2400.67925406,0.499054820416,0.2763297069,
80,149,cbow,3.48736190796,2114.44008088,280.689007044,2398.61644983,0.498634740601,0.257560328223,
80,149,cbow,2.91549611092,2128.46160197,281.02624011,2412.40333819,0.500105019954,0.268550721276,
80,149,skip-gram,2.97304201126,2150.11057591,263.817026854,2416.90064478,0.500315059861,0.317963718648,
80,149,skip-gram,3.85838794708,2086.03667498,260.639220953,2350.53428388,0.502625498845,0.28343195966,
80,149,skip-gram,2.63271093369,2070.34604096,333.112359047,2406.09111094,0.499894980046,0.302383649913,
80,149,skip-gram,2.60905003548,2086.81679082,261.728487968,2351.15432882,0.494433942449,0.254508617163,
80,149,skip-gram,2.63177609444,2067.13636994,259.587733984,2329.35588002,0.497584541063,0.304744375667,
